tokens,is_negative,is_book,Y,category
large pore good thing many product tried little help used use silicone gel apply makeup base troubled area around nose found clinique pore minimizer find much effective find pore appear much le visible using product clog complexion cause breakout,0,0,0,beauty
riotous read deadpan kind way amusing anecdote rule instruction life whether take seriously poke fun 's brisk jaunt pretentions wealthy member american establishment really matter dress right read town country.one favourite anecdote touch upon use terrapin fork.it 's written irishman boston cape cod describes rich country showing u detail really live.it 's unlikely leave coffee_table,0,1,0,books
society american baseball research outdone companion book `` deadball star national league '' appropriately enough called_`` deadball star american league '' following manner n.l book short biography major star franchise active 1901 1919 complete many photo excellent book utilized huge amount people `` deadball '' committee organization taking part writing editing fact checking 's wonderful book wanting feel game first decade 20th_century player time highly_recommend,0,1,0,books
`` thomas take u beyond freud beyond eros thanatos thus challenge substance freudian text within analysis suggests buried within individual neurosis subtext history -- final solution beyond horror transcendent vision salvation love mythical state israel bold intellectually challenging novel thomas go_beyond history historical_fiction explores shadowy realm perception perceiver breathtaking vision artistry '' reviewed daniel wei virginia quarterly review 'the white hotel extraordinary book given highest_recommendation best_friend read never_forget taken case history lisa erdman early patient sigmund freud book explores case sexual hysteria find way self destructiveness scene lisa dr.freud fascinating take back childhood dream lisa 's erotic dream almost vision premonition lisa death destruction freud help lisa resume normal life opera singer brought world opera lisa find remarries settle ukraine husband step-son unraveling begin harrowing adventure leave edge life lisa know begin crumble `` lisa 's story_told three time long letter erotic ramblings psychotic image steeped poetry finally narrative prose dry tone doctor discussing case complete musing aside end third rendition reader begin understand something eminent psychologist never anna product metaphor collective fall european consciousness madness still scar entire century `` t.rex'the white hotel much like mystery part unraveling filled melancholy dream like stance reading book read book well_written time lay groundwork extraordinary trip lisa becomes trip soon forget highly_recommended prisrob 2-18-07,0,1,0,books
manage large portfolio imperative new product properly launched book actualy responsibility nicely overviewed right front me.it precisely describes process new offering taken.great buy,0,1,0,books
've begun read skimmed whole book- general idea 's about- far thrilled choice- going choose `` purity passion '' another customer review led book instead- 'm greatful chose one written expressly woman point view- one `` done '' also book divided chapter end_chapter 'homework ... great besides addressing physical reason undersatisfied bed also address emotional mental spiritual aspect could hindering intimate relationship ... something none self help book husband read together addressed highly_recommend boo,0,1,0,books
interviewing amp hiring candidate several_year recently decided little research topic book excellent written manner easy open read relevant chapter making quick reference style use in-depth reading needed suggested question insightful analysis question help take candidate answer next level section checking reference also helped move beyond paralysis knowing legally able ask therefore making reference checking useful tool meant,0,1,0,books
chanju mun ronald s. green edited published article presented fifth international seminar buddhism leadership peace theme `` exploration way put buddhist thought social practice peace justice '' 40 presentation paper editor selected included excellent 28 article book article investigate peace justice sublime never-ending human obligation various buddhist tradition think book comprehensively cover buddhist application peace justice understanding strongly_recommend prospective reader read book order build peaceful society troubled society,0,1,0,books
book well-written easy_read introduction luther 's doctrine vocation veith explores doctrine vocation show give value work also key christian ethic introductory paragraph veith explains doctrine vocation god work normal day-to-day activity people 's life providing daily bread people example god work human calling farmer baker truck driver factory worker wholesaler retailer etc different vocation rightly understood secondary mean god ordained accomplish purpose veith devotes chapter major vocation calling worker calling family calling citizen calling church chapter explores relevant biblical text dealing vocation demonstrates application real-life example wrap book veith spends couple chapter ethical implication doctrine vocation work shed_light controversial ethical question euthanasia abortion etc. enjoyed book thoroughly reading finally understood clearly reformation eliminated medieval sacred/secular distinction 's sacred 's god work,0,1,0,books
adore book blindingly hot read seriously delicious hero read e-book first picked paperback print 've re-read often 's gotten pretty battered highly_recommended,0,1,0,books
one new year 's resolution start reading non-fiction book year 'm sci-fi junkie someone love outdoors thought _annapurna woman 's place_ would good place_start disappointed told straightforward autobiographical manner without lot embellishment book none-the-less fascinating found difficult put constantly wanted_know happened next surprised ms. blum stressed climbing aspect team 's adventure actually downplayed fact female climbing team found added appeal story one book unhesitatingly recommend family amp friend,0,1,0,books
bought book part believed would game programming equivalent famous gang four `` design pattern '' book nowhere near case nowhere book mention game might actually structured organized code object level pattern game design nothing dictionary feature appearing games.examples `` pattern '' 'identification basically defined player identifying aspect game.games `` alliance '' potential `` betrayal '' author say much common_sense person could deduce feature game.anyone even modicum experience gaming world real use list game-possible-features possibility understood implicitly anyone ever played even small number modern computer games.at best book might galvanize imagination someone idea game,1,1,1,books
must-read author describes detail many_different type scam people get defrauded book also fun_read show scammer use people 's psychological trait like greed insecurity even loneliness get part money 's interesting actually see analogous strategy played tv commercial even daily interaction people try get thing feel much prepared deal life reading,0,1,0,books
studied many writing buddhism short period time offering present clear perspective buddha 's teaching perspective practical one found emphasis impermanence particularly insightful usual read practice buddhism sogyal rinpoche strong praise dzongsar jamyang khyentse book `` tibetan book living dying '' unfamiliar author insight run deep,0,1,0,books
book also even answer unite form union student even homework assignment,0,1,0,books
part consultation group early career psychologist regularly discus issue related starting building practice marketing developing niche area issue related business owning one 's practice book referenced numerous time group helpful informative u particularly b/c issue taught graduate school training would forge ahead field psychology career psychologist without looking book first,0,1,0,books
best book ever_read elementary electronics read many overload beginner complex circuit analysis yet in-depth enough entry level electronics technician studying book well prepared take advanced study range topic excellent written easy digest style project help seal fact mind highly_recommend beginner,0,1,0,books
du maurier author almost twenty novel article play memoir short_story yet known relatively limited handful popular work daphne du maurier haunted heiress analyzes lesser-known volume character providing strong literary analysis metaphor writing ethnic social observation choice time result revealing absorbing study,0,1,0,books
book two purpose first book tell install configure troubleshoot vendor-independent computer network note word vendor-independent modern company may well find netware network accounting apple marketing unix/linux server course pc 's many book cover together 's together book together network second book also styled study guide comptia network+ 2005 certification exam sample question general approach consistent comptia philosophy tamara dean worked networking 14_year wide_variety company organization implemented kind system writing also skilled writer written book several networking guide given understanding reader need included understanding book,0,1,0,books
good dollop diop watch footballer pape bouba diop instead,1,1,1,books
wonderful book real eye_opener condition urban area go show n't volunteering ground zero hero,0,1,0,books
buying book no-brainer entrepreneur without marketing background book completely change position company craft sale message develop website content explain do.if developing new product service often hard communicate value offering get caught feature hard_time explaining benefit customer could care le feature want_know `` '' book set right path.simply put important business book ever_read could choose one business book read rest life would read one,0,1,0,books
please kill something t-shirt day imagine walking around pre-gentrification manhattan please kill oral history punk evolved nyc one real point origin along detroit long_time making ultimately well_worth wait.this book drawn interview key player avalanche historical detail presented far greater anyone could 've hoped say book reward re-reads would great understatement 's year material exploration offer here.the nearly apocalyptic debauchery year luridly detailed also creative process working method diversity initial scene something unfortunately faded punk 1980s also vividly depicted.a great rich read.-david alsto,0,1,0,books
... 's distinct need book `` how-to '' manual like dr. spock `` hard science '' work scientific american scholarly journal book serious scientist also devoted observant parent hit sweet spot looking yet_another book opinion raise kid keep looking book describes scientifically repeatable finding using technique replicate ... might access mri device play child 's concept `` gone '' ... 50 page note people want dig_deeper research 15 page index people hurry amusing anecdote lift tedium careful analysis.this book thoughtful curious parent `` how-to '' ... `` work '',0,1,0,books
book grew with-small book contained wonderful picture read child turn reading child rev audry 's picture charm lost present day thomas train tv series.these story benefit rev audry 's original illustration story gentle amusing .in sometimes cold world invite gentler kinder infinitely warmer earth celebrated story thomas tank engine gordon many_others live story father railroad buff- suppose natural enjoyed story much think anyone similar interest would enjoy child grandchild think number child go railroad adventure everywhere would find book added enrichment,0,1,0,books
new edition one_best book introducing anyone sport fly fishing whether angler want shop equipment orvis wal-mart information clearly explained without going tedious detail novice experienced angler n't want everything covered -- rod type fly line casting basic excellent graphic helpful -- especially knot book knot instruction impossible follow -- '' knot '' someone want start fly fishing book would make great start orvis doubt added color illustration compete `` l.l.bean 's handbook fly-fishing '' another excellent `` '' book 're_looking `` '' info book get inspiration fishing life pick schreiber 's novel `` life fly,0,1,0,books
book ann dawson articulates passing teenage son way feel pain god bless taking painful experience using help others going pain loss quotation us writer subject inspire you.this book currently grieving also want_learn understand grieving process help others experiencing painful process.one warning start reading book difficult set,0,1,0,books
loved every minute every adelma simmons book ever_read lovely lady owner operator caprilands herb farm connecticut subject book describes garden look smell taste cared quot five quot season year -- winter spring summer fall christmas yes caprilands christmas major event book packed tip gardening using herb herbal folklore interspersed personal anecdote humor check adelma 's book fascinating,0,1,0,books
book give best creative idea discipline 've used least 10 different one girl know need change bit every best idea correction jar one say `` pick privilege '' say `` correction '' girl able pick thing put slip paper jar saw something good could let pick good jar saw something n't pick consequence bad worked brilliantly would go way good behavior could get chance pick good jar also loved verse throughout book correlated behavior gave specific verse could show girl back behavior unacceptable,0,1,0,books
im one diebenkorn 's fan book whatever want like colorism pure painting highly_recommended,0,1,0,books
several_time found telling friend point read kevin 's book also recommended friend experiencing 'issues best compliment give book found source clarity comfort difficult time.btw kevin crack astrologer given superb incisve phone reading,0,1,0,books
soul work spiritual leadership organization guide spirituality especially organizational leader written expert teacher area spirituality organizational leadership soul work examines role individual nurturing soul organizational mean soul manifest procedure balancing tension difficulty individual organization segment discus leadership requirement bring transformation leader listen importance honoring really matter business volunteer organization importance remembering real cause behind charitable organization much numerous anecdote example vividly illustrate insightful practical soulful guide,0,1,0,books
read book one_sitting riveting could_put book cover variety event world_war ii main focus dachau liberation 45th thunderbird division seventh army new information liberation dachau debunks previously published account describes heroism thunderbird division time holocaust denial rampant book tell true_story atrocity committed dachau author based book eye-witness account american soldier also old black_white photo never published book required_reading every school america,0,1,0,books
`` coming country '' classic every visitor alaska read first two section skipped people section one `` encircled river '' kobruk river section two `` hunting '' funny tale defunct effort establish new alaskan capital city.section three titled_`` coming country '' describes people region eagle population 100 plus loose scattering rural homesteader time late 1970s alaskan land divided national park native_american state federal private land mcphee seems interviewed everybody eagle get cross section view -- anti-government libertarian probe deep alaska psyche simply recording people told homesteader admire individuality hardiness -- bulldozer airplane seem incompatible living simply wood someone said greatest boon homesteader food stamp thus lifestyle bit artificial dependent upon people inhabiting large area land hand `` posey sniffer '' call environmentalist right dictate alaskan conduct land would new yorkers fifth avenue resent alaskan advice management central park struggle environmentalist alaskan continues day little town wrangell last summer greenpeace ship `` arctic sunrise '' paid call promptly slapped summons violating environmental law greenpeace fled scene convicted failing `` oil spill prevention plan '' seems serious omission outfit protest oil spill vocation 'd_like see update mcphee 's book 's happened homesteader interviewed suspect long since abandoned cabin returned civilization possibly replaced new group seeking solace wilderness goal homesteader posey sniffer way good book objective reporting group enjoy smallchief,0,1,0,books
probably comprehensive guide thought theory practical aspect designing city buy weep boring grid plan city ...,0,1,0,books
first book read provides good foundation salesman beginner,0,1,0,books
simple tell like is- could work_art joy see fuller figure viewed something beautiful,0,1,0,books
pempel convincingly argues regime shift major domestic international change taking place japan last decade cumulatively resulted fundamental transformation japan 's political economy trace consequence japan 's present future alteration major attempt synthesize others seen disparate unconnected event trend domestic international level coherent view japan going must reading anyone_interested japanese politics economics place world,0,1,0,books
like brian greene 's `the elegant universe like book book comparable coverage readability greene 's occupies 448 page halpern 's 326 page main difference compassion toward coverage thoroughness inspiring/taunting for/against view person incident respect enjoyed_reading halpern 's greene tends write like story `string theory einstein thus omitting lot view person incident inspiring/taunting for/against einstein and/or string theorist omitted greene example einstein came think seriously four-dimensional space-time approach developed hermann minokowski several scientist spite einstein followed kaluza-klein theory adding fifth dimension well covered halpern 's 8722 together `flesh blood story person involved plight nazi 's tyranny 8722 even einstein compassionately halpern tell_story edwin abbott abbott nima arkani-hamed valentine bargmann peter bergmann niels bohr louis de broglie charlie chaplin william klingdon clifford eugene cremmer stanley deser bryce seligman dewitt savas dimopoulos paul dirac georgi gia dvali arthur eddington paul ehrenfest albert einstein richard feynman abraham flexner carl friedrich gauss murray gell-mann howard georgi sheldon glashow michael green werner heisenberg david hilbert charles howard hinton banesh hoffmann pascual jordan bernard julia theodor franz eduard kaluza immanuel kant oskar benjamin klein hendrik kramers hendrik lorentz james clerk maxwell walther mayer hermann minokowski gunnar nordstrm wolfgang pauli lisa randall georg friedrich bernhard riemann abdus salam jol scherk erwin schrdinger john schwarz julian schwinger raman sundrum richard tolman steven weinberg h.g well hermann weyl john wheeler edward witten chen ning frank yang hideki yukawa johann zllner etc gone similar `publish perish experience though likely much le fierce arena imagine like stated einstein 8722 `` year anxious searching dark intense longing alternation confidence exhaustion final emergence light '' ironically halpern even cover first second superstring revolution better greene one overlook fact halpern writing five_year improve green 's another major difference two book one may pick criticism halpern 's explicit mentioning success string_theory far rather explicitly greene claim success string_theory solving conflict einstein 's general relativity quantum mechanic settling fabric space tear solving central puzzle concerning bekenstein-hawking entropy black hole rationally modifying conclusion cosmic origin guess halpern unlike greene apparently belonging impartial party need feel obliged try hard sell product string_theory,0,1,0,books
read story second grade class story interested learned career one interested weaver n't really know weaver read story,0,1,0,books
